SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 45.7 UG of Molybdenum, Mo, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 34.5 UG of Molybdenum, Mo, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 30.9 UG of Molybdenum, Mo, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 24.6 UG of Molybdenum, Mo, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Molybdenum, Mo, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Molybdenum, Mo, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Molybdenum, Mo, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Molybdenum, Mo, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Molybdenum, Mo, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Molybdenum, Mo, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Molybdenum, Mo, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Molybdenum, Mo, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 8.8567 UG of Selenium, Se, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 2.88 UG of Selenium, Se, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Selenium, Se, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 3.8 UG of Selenium, Se, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Selenium, Se, 
